name,calorie,serving_size,healthiness,segment
beer light,110,12-ounce can or bottle,not healthy,alcohols
beer regular,144,12-ounce can or bottle,not healthy,alcohols
wine red,91,1 wine glass (4 ounces),not healthy,alcohols
wine white,86,1 wine glass (4 ounces),not healthy,alcohols
ground beef lean broiled grilled,290,4 ounces (1/4 pound),not healthy,alcohols
ground beef regular broiled grilled,328,4 ounces (1/4 pound),not healthy,alcohols
pepperoni,27,1 slice,not healthy,alcohols
porterhouse steak prime grade broiled grilled,55,1 ounce,not healthy,alcohols
tenderloin steak roast broiled grilled,51,1 ounce,not healthy,alcohols
tbone steak broiled grilled,50,1 ounce,not healthy,alcohols
breads all types regular sliced,70,1 slice (1 ounce),healthy,breads
bread french and sourdough,88,1 slice (1 ounce),healthy,breads
bread very thin sliced diet,40,1 slice,healthy,breads
america processed,106,1 ounce,not healthy,cheeses
blue cheese danish,100,1 ounce,not healthy,cheeses
brie,85,1 ounce,not healthy,cheeses
camembert,122,1 ounce,not healthy,cheeses
cheddar regular,114,1 ounce,not healthy,cheeses
cheddar low fat,80,1 ounce,not healthy,cheeses
cream cheese regular,99,1 ounce,not healthy,cheeses
cream cheese light low fat,65,1 ounce,healthy,cheeses
cream cheese fat-free,27,1 ounce,not healthy,cheeses
fontina cheese,110,1 ounce,not healthy,cheeses
gouda,101,1 ounce,not healthy,cheeses
gruyere,117,1 ounce,not healthy,cheeses
mozzarella whole milk,80,1 ounce,not healthy,cheeses
mozzarella fresh,70,1 ounce,not healthy,cheeses
parmesan cheese,111,1 ounce,not healthy,cheeses
parmesan cheese grated,23,1 tablespoon,not healthy,cheeses
provolone,100,1 ounce,not healthy,cheeses
ricotta whole milk,49,1 ounce,healthy,cheeses
roquefort,102,1 ounce,not healthy,cheeses
swiss,100,1 ounce,not healthy,cheeses
tofu soft silken,22,1 ounce,healthy,cheeses
tofu firm cotton brick or momen,41,1 ounce,healthy,cheeses
chocolate semisweet,140,1 ounce,healthy,chocolates
chocolate dark bittersweet,170,1 ounce,healthy,chocolates
chocolate extra dark,180,1 ounce,healthy,chocolates
chocolate white,162,1 ounce,healthy,chocolates
chocolate unsweetened baking,135,1 ounce,healthy,chocolates
chocolate chips semisweet,80,1 tablespoon,healthy,chocolates
nutella,200,2 tablespoons,not healthy,chocolates
cream of tartar,2,1 teaspoon,not healthy,condiments
ketchup,15,1 tablespoon,not healthy,condiments
mayonnaise regular,100,1 tablespoon,not healthy,condiments
mayonnaise light,50,1 tablespoon,not healthy,condiments
mayonnaise reduced fat,20,1 tablespoon,not healthy,condiments
mayonnaise fat free,11,1 tablespoon,not healthy,condiments
mayonnaise weight watchers light,50,1 tablespoon,not healthy,condiments
mustard dijon,18,1 tablespoon,not healthy,condiments
mustard yellow,10,1 tablespoon,not healthy,condiments
olives spanish green with pimiento,15,2 olives,healthy,condiments
onion powder,5,1 teaspoon,healthy,condiments
salsa,6,2 tablespoons,healthy,condiments
